t,cpu.0,cpu.1,cpu.2,cpu.3,gpu.0,gpu.1,gpu.2,gpu.3,ram.0,ram.1,net.0,net.1,disk.0,disk.1,disk.2,disk.3
165.028,6.0,1.2,16.7,42.0,2.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.3,1000.0,311.0,874.0
166.028,7.4,3.2,18.8,42.0,2.0,45.0,52.0,604.0,53.0,31.9,0.4,0.7,0.1,1001.0,311.0,876.0
167.052,8.2,2.5,28.0,42.0,8.0,45.0,52.0,604.0,53.0,31.9,0.2,0.1,0.1,1001.0,311.0,876.0
168.038,6.5,1.2,23.5,42.0,3.0,45.0,52.0,605.0,53.0,31.9,0.1,0.1,0.0,1001.0,311.0,876.0
169.045,8.9,3.2,23.5,41.8,10.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.2,1001.0,311.0,876.0
170.036,11.4,3.2,27.1,41.8,3.0,45.0,52.0,605.0,53.0,31.9,0.1,0.1,0.0,1002.0,311.0,876.0
171.028,6.7,3.2,19.1,41.8,2.0,45.0,52.0,605.0,53.0,31.9,0.4,0.8,0.0,1002.0,311.0,876.0
172.044,8.3,3.2,17.6,41.8,2.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,1002.0,311.0,876.0
173.03,13.3,3.2,34.8,41.5,7.0,45.0,52.0,605.0,53.0,31.9,4.4,8.6,1.0,1002.0,311.0,876.0
174.032,7.7,1.2,22.9,41.5,4.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
175.047,7.1,3.2,16.2,41.5,9.0,45.0,52.0,605.0,53.1,31.9,0.1,0.1,0.0,1001.0,311.0,875.0
176.045,7.5,1.2,15.4,41.5,3.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
177.032,4.9,3.2,12.5,41.5,11.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.1,1001.0,311.0,875.0
178.048,7.9,3.2,20.3,41.5,5.0,45.0,52.0,604.0,52.9,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
179.036,9.1,1.2,26.8,41.5,1.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,1.1,1001.0,311.0,875.0
180.05,7.5,1.2,15.9,41.5,8.0,45.0,52.0,604.0,52.9,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
181.035,6.7,1.2,26.1,41.0,5.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
182.033,8.2,2.8,23.1,41.0,5.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.2,1001.0,311.0,877.0
183.04,8.8,1.9,26.4,41.0,6.0,45.0,52.0,606.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,877.0
184.026,8.7,3.2,27.5,41.0,6.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.1,1001.0,311.0,877.0
185.028,8.0,3.2,20.3,41.0,1.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.2,1001.0,311.0,877.0
186.035,7.1,3.2,21.5,41.0,9.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,988.0,290.0,867.0
187.05,8.5,2.1,20.0,41.0,3.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.1,988.0,290.0,867.0
188.04,10.1,3.1,20.0,41.0,5.0,45.0,52.0,604.0,53.0,31.9,0.2,0.3,0.1,988.0,290.0,867.0
189.031,11.6,3.2,31.2,41.0,2.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.0,988.0,290.0,867.0
190.03,10.0,3.2,30.1,41.0,8.0,45.0,52.0,606.0,53.0,31.9,0.0,0.0,0.0,979.0,284.0,863.0
191.042,8.0,3.2,15.6,41.0,2.0,45.0,52.0,605.0,53.0,31.9,0.0,0.0,0.6,979.0,284.0,863.0
192.03,10.3,3.2,21.9,41.0,9.0,45.0,52.0,605.0,52.9,31.9,0.0,0.0,0.0,979.0,284.0,863.0
193.05,6.6,3.1,13.6,41.0,2.0,45.0,52.0,606.0,53.0,31.9,0.0,0.0,0.1,979.0,284.0,863.0
194.037,7.9,3.1,23.5,41.0,4.0,45.0,52.0,606.0,53.0,31.9,0.0,0.0,0.5,979.0,283.0,863.0
195.053,8.0,1.3,22.4,41.0,2.0,45.0,51.0,605.0,53.0,31.9,0.0,0.0,0.2,979.0,283.0,863.0
196.044,6.7,3.2,25.7,41.0,3.0,45.0,51.0,605.0,53.0,31.9,0.0,0.0,0.1,979.0,283.0,863.0
197.036,6.9,2.5,20.0,40.8,4.0,45.0,52.0,604.0,52.9,31.9,0.0,0.0,0.2,979.0,283.0,863.0
